iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.7203707611640444,0.051883027821276614,0.730429078334671,0.017200926357925812,0.5819947725482004,0.029292090483710533,0.5713352702290903,0.030859430833502722
1,0.7301361845207541,0.0625562356873762,0.7410372216237595,0.022373228520264053,0.5211830906481857,0.039102224543679905,0.48779156491606396,0.027693011801754038
2,0.7290928080757888,0.06549825402274004,0.7526131672596672,0.03149181811924689,0.49691590630235377,0.060423150014951924,0.4353874550802882,0.030791528287824582
3,0.7226786341213403,0.054935263900191045,0.7623083189692338,0.029234188099050436,0.4877754948999787,0.06386425341086072,0.40244792009380015,0.023771139320112666
4,0.7234455373303961,0.052334690480404455,0.7609839869385485,0.03010291414932547,0.47980822165621306,0.0649516697153476,0.3961205226070742,0.02005840345935614
5,0.7216097638514445,0.054553326809366386,0.7753012910805686,0.024860758257830615,0.4893647168059384,0.08244376342521448,0.37125987421187207,0.026133363515364213
6,0.7120211426464014,0.05607774132539054,0.7900009393350667,0.012174219088238077,0.4935577375681839,0.08405311259123774,0.35117151010743064,0.01988623177696626
7,0.7167877971809097,0.05015449523683833,0.7988417189441357,0.0131572313615583,0.4821466776232328,0.06314910537358942,0.3393810735603347,0.016388292603732132
8,0.7205525462730511,0.049879222662439306,0.8075108231631614,0.010953496969172838,0.4827955448589467,0.06883861176890609,0.328704889908619,0.013405917171816743
9,0.7213630360623278,0.06295611491468074,0.8103723606318601,0.012376212813061149,0.49013776946407284,0.08301733043561828,0.3212560844613773,0.01724159467586662
10,0.7146889608300506,0.06716879153248596,0.8126085497068185,0.015587545961088235,0.4940212269460787,0.09778622309792935,0.3159810224156533,0.019062414623791858
11,0.714177464568397,0.07478889567189154,0.8142613564007368,0.015038986675925351,0.49263345473592074,0.09933969397358294,0.31261236153729915,0.019411681368254063
12,0.7174444606183347,0.07226861602406015,0.8165018404147176,0.01358701540733574,0.4931417841725286,0.10059952849225651,0.3098986355710664,0.020054544415282944
13,0.7225492212455263,0.0752931385121077,0.8244741178547571,0.005048262466419996,0.5066352740888661,0.10242443613126448,0.30147672482431764,0.014441864932334882
14,0.7253520614176352,0.07495717896156628,0.8309441280889098,0.005680533359673314,0.5072516322031547,0.11064918576250699,0.293758223951639,0.014594723891889884
15,0.7295307948317611,0.07282455986843474,0.8346280135535767,0.006769808508003532,0.5049790218705488,0.11125281877956356,0.29098813565956344,0.012714262849834115
16,0.7319700692599541,0.06003730266433886,0.840368354996758,0.004296119263428784,0.5122746372932339,0.1203710765912141,0.2834286673685408,0.013233669179635008
