iter	Passed	Remaining
0	1	268
1	3	327
2	5	370
3	7	359
4	12	475
5	15	490
6	21	558
7	25	593
8	27	566
9	28	522
10	32	543
11	34	515
12	37	515
13	42	540
14	46	554
15	52	579
16	57	593
17	60	589
18	62	572
19	66	579
20	71	583
21	76	595
22	82	606
23	95	673
24	96	649
25	101	652
26	107	663
27	111	654
28	114	644
29	116	634
30	119	624
31	122	615
32	124	603
33	129	605
34	132	599
35	135	592
36	139	590
37	144	590
38	150	593
39	156	597
40	160	593
41	165	596
42	173	603
43	178	604
44	183	602
45	187	597
46	190	591
47	193	585
48	196	577
49	199	571
50	203	565
51	206	558
52	208	551
53	212	546
54	213	536
55	217	531
56	221	527
57	224	522
58	227	516
59	230	511
60	233	505
61	236	500
62	241	498
63	248	500
64	256	505
65	262	504
66	268	504
67	275	506
68	279	501
69	282	496
70	285	489
71	288	485
72	292	480
73	295	475
74	299	470
75	301	464
76	306	461
77	310	457
78	313	451
79	315	446
80	320	443
81	324	438
82	326	433
83	330	429
84	333	424
85	336	418
86	341	416
87	347	415
88	353	413
89	358	409
90	363	407
91	368	404
92	373	401
93	378	398
94	384	396
95	389	393
96	392	388
97	396	384
98	399	379
99	403	375
100	406	370
101	410	366
102	413	361
103	418	357
104	420	352
105	424	348
106	427	343
107	430	339
108	434	335
109	438	330
110	442	327
111	447	323
112	451	319
113	453	314
114	459	311
115	462	306
116	465	302
117	469	298
118	471	293
119	477	290
120	483	287
121	489	284
122	493	281
123	497	276
124	503	273
125	506	269
126	512	266
127	518	263
128	524	260
129	530	256
130	535	253
131	541	250
132	546	246
133	552	243
134	557	239
135	563	235
136	569	232
137	576	229
138	583	226
139	597	226
140	603	222
141	607	218
142	611	213
143	617	210
144	626	207
145	631	203
146	636	199
147	641	195
148	646	191
149	651	186
150	654	182
151	658	177
152	663	173
153	669	169
154	676	165
155	683	162
156	689	158
157	693	153
158	697	149
159	699	144
160	702	139
161	704	134
162	708	130
163	712	125
164	714	121
165	717	116
166	720	112
167	724	107
168	728	103
169	731	98
170	734	94
171	737	90
172	740	85
173	742	81
174	747	76
175	749	72
176	752	68
177	755	63
178	760	59
179	766	55
180	771	51
181	778	47
182	785	42
183	792	38
184	797	34
185	800	30
186	808	25
187	812	21
188	818	17
189	825	13
190	832	8
191	837	4
192	840	0
