iter	Passed	Remaining
0	7	1498
1	9	881
2	12	816
3	14	665
4	17	656
5	18	587
6	19	512
7	21	499
8	24	494
9	25	460
10	27	452
11	30	456
12	31	439
13	34	445
14	37	444
15	39	438
16	43	449
17	46	452
18	46	429
19	47	413
20	48	401
21	50	390
22	50	376
23	53	378
24	54	365
25	56	363
26	58	357
27	61	360
28	64	365
29	67	367
30	70	368
31	73	369
32	76	371
33	77	362
34	80	364
35	81	354
36	83	352
37	86	352
38	89	354
39	91	351
40	95	352
41	97	350
42	101	355
43	103	350
44	105	347
45	108	347
46	111	346
47	113	343
48	117	344
49	120	344
50	122	341
51	124	338
52	127	336
53	130	335
54	132	332
55	135	331
56	138	329
57	140	327
58	144	327
59	149	330
60	151	328
61	155	328
62	158	327
63	164	331
64	171	338
65	177	341
66	182	343
67	188	345
68	191	344
69	195	343
70	197	339
71	202	339
72	204	335
73	206	332
74	210	330
75	213	329
76	216	326
77	220	325
78	224	324
79	230	325
80	237	327
81	244	331
82	249	331
83	255	332
84	261	332
85	267	333
86	272	331
87	277	331
88	283	331
89	289	330
90	295	331
91	300	329
92	305	328
93	310	326
94	315	325
95	321	324
96	328	324
97	332	321
98	342	324
99	350	326
100	356	324
101	362	323
102	367	320
103	372	318
104	377	316
105	380	312
106	383	308
107	385	303
108	388	299
109	394	297
110	398	294
111	401	290
112	404	286
113	408	283
114	413	280
115	418	277
116	421	274
117	425	270
118	427	266
119	431	262
120	435	258
121	437	254
122	441	251
123	444	247
124	447	243
125	451	239
126	454	236
127	460	233
128	463	230
129	468	227
130	473	224
131	478	221
132	483	217
133	487	214
134	491	211
135	494	207
136	497	203
137	500	199
138	502	195
139	505	191
140	508	187
141	510	183
142	512	179
143	516	175
144	518	171
145	520	167
146	524	164
147	526	160
148	529	156
149	531	152
150	535	148
151	537	145
152	541	141
153	544	137
154	549	134
155	553	131
156	555	127
157	558	123
158	561	120
159	564	116
160	566	112
161	569	108
162	573	105
163	575	101
164	578	98
165	580	94
166	583	90
167	586	87
168	589	83
169	591	80
170	596	76
171	600	73
172	603	69
173	605	66
174	608	62
175	611	59
176	613	55
177	616	51
178	619	48
179	622	44
180	625	41
181	627	37
182	630	34
183	633	30
184	635	27
185	639	24
186	643	20
187	646	17
188	649	13
189	652	10
190	655	6
191	658	3
192	661	0
